"","id","author","title","date","Status","reviewer","Light-Neurocognition","Water-Neurocognition","Air-Neurocognition","Land-Neurocognition","Biota-Neurocognition","Interaction & Perception-Neurocognition","Built Environment-Neurocognition","Chemical Hazards-Neurocognition","Meteorological-Neurocognition","Geological-Neurocognition","Light-Neurodevelopment","Water-Neurodevelopment","Air-Neurodevelopment","Land-Neurodevelopment","Biota-Neurodevelopment","Interaction & Perception-Neurodevelopment","Built Environment-Neurodevelopment","Chemical Hazards-Neurodevelopment","Meteorological-Neurodevelopment","Geological-Neurodevelopment","Light-Personality & Identity","Water-Personality & Identity","Air-Personality & Identity","Land-Personality & Identity","Biota-Personality & Identity","Interaction & Perception-Personality & Identity","Built Environment-Personality & Identity","Chemical Hazards-Personality & Identity","Meteorological-Personality & Identity","Geological-Personality & Identity","Light-Reality Connection","Water-Reality Connection","Air-Reality Connection","Land-Reality Connection","Biota-Reality Connection","Interaction & Perception-Reality Connection","Built Environment-Reality Connection","Chemical Hazards-Reality Connection","Meteorological-Reality Connection","Geological-Reality Connection","Light-Social & Behavioral","Water-Social & Behavioral","Air-Social & Behavioral","Land-Social & Behavioral","Biota-Social & Behavioral","Interaction & Perception-Social & Behavioral","Built Environment-Social & Behavioral","Chemical Hazards-Social & Behavioral","Meteorological-Social & Behavioral","Geological-Social & Behavioral","Light-Mind-Body Relationship","Water-Mind-Body Relationship","Air-Mind-Body Relationship","Land-Mind-Body Relationship","Biota-Mind-Body Relationship","Interaction & Perception-Mind-Body Relationship","Built Environment-Mind-Body Relationship","Chemical Hazards-Mind-Body Relationship","Meteorological-Mind-Body Relationship","Geological-Mind-Body Relationship","Light-Stress & Resilience","Water-Stress & Resilience","Air-Stress & Resilience","Land-Stress & Resilience","Biota-Stress & Resilience","Interaction & Perception-Stress & Resilience","Built Environment-Stress & Resilience","Chemical Hazards-Stress & Resilience","Meteorological-Stress & Resilience","Geological-Stress & Resilience","Light-Affect","Water-Affect","Air-Affect","Land-Affect","Biota-Affect","Interaction & Perception-Affect","Built Environment-Affect","Chemical Hazards-Affect","Meteorological-Affect","Geological-Affect","continent1","subregion1","country1","continent2","subregion2","country2","continent3","subregion3","country3","Urban","Rural","Women","Men","In-utero (unborn)","Children and Adolescents (under 18)","Older adults (65+)","Pregnant persons","Low-income","High-income","Outdoor workers","Indoor workers","Unhoused","Non-literate","Indigenous","Migrant","Racial/ethnic minority/minoritized population","Other marginalized population","Other (please note)","General/non-specified","other","ej","Flagship paper","General doubts","exclusion","notes","matrix_cell","pop_list"
"11",172,"Hwong 2022","Climate change and mental health research methods, gaps, and priorities: a scoping review","2023-07-25","IP Address","Lars","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"Yes","Flagship paper",NA,NA,"This is a paper to mention, also due to the journal it is published in.","Chemical Hazards-Reality Connection, Chemical Hazards-Social & Behavioral, Chemical Hazards-Mind-Body Relationship, Chemical Hazards-Stress & Resilience, Chemical Hazards-Affect","General/non-specified"
"12",196,"Pence 2022","Gender differences in the association between environment and psychosis","2023-07-24","IP Address","Lars","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,NA,"Interaction & Perception-Reality Connection","General/non-specified"
"13",199,"Luque-García 2022","Does exposure to greenness improve children's neuropsychological development and mental health? A Navigation Guide systematic review of observational evidence for associations","2023-07-25","IP Address","Hannah","Off","Off","Off","On","Off","On","Off","Off","Off","Off","Off","Off","Off","On","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","On","Off","Off","Off","Off","Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Children and Adolescents (under 18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"Air-Neurocognition, Biota-Neurocognition, Air-Neurodevelopment, Biota-Neurodevelopment, Air-Mind-Body Relationship, Biota-Mind-Body Relationship, Air-Affect, Biota-Affect","Children and Adolescents (under 18)"
"14",202,"Bernhardt 2022","Why hospital design matters: A narrative review of built environments research relevant to stroke care","2023-08-17","IP Address","Breanna","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other (please note)",NA,"Stroke patients","No",NA,NA,NA,NA,"Interaction & Perception-Stress & Resilience, Interaction & Perception-Affect","Other (please note)"
"15",219,"Yates 2022","Reshaping ties to land: a systematic review of the psychosocial and cultural impacts of Pacific climate-related mobility","2023-07-14","IP Address","Hannah","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Oceania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indigenous","Migrant",NA,NA,NA,NA,NA,"Yes","Flagship paper",NA,NA,NA,"Biota-Mind-Body Relationship","Indigenous, Migrant"
"16",225,"Astell-Burt 2022","Green space and loneliness: A systematic review with theoretical and methodological guidance for future research","2023-07-07","IP Address","Lars","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","On","On","Off","Off","Off","Off","Off","Off","On","Off","On","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,"6 bins: discusses greenspace and access, including vistas (built or non-built) in terms of loneliness and general well-being","Air-Social & Behavioral, Biota-Social & Behavioral, Interaction & Perception-Social & Behavioral, Air-Mind-Body Relationship, Biota-Mind-Body Relationship, Interaction & Perception-Mind-Body Relationship","General/non-specified"
"17",228,"Kong 2022","Indoor lighting effects on subjective impressions and mood states: A critical review","2023-07-17","IP Address","Breanna","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","On","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indoor workers",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"Geological-Stress & Resilience, Biota-Affect","Indoor workers"
"18",233,"Markozannes 2022","Outdoor air quality and human health: An overview of reviews of observational studies","2023-08-24","IP Address","Hannah","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,"General doubts",NA,"No real discussion of mental health outcomes aside from two mentions of Alzheimer's disease on page 8.","Built Environment-Neurocognition","General/non-specified"
"19",239,"Lin 2022","The epidemiological evidence linking exposure to ambient particulate matter with neurodevelopmental disorders: A systematic review and meta-analysis","2023-08-17","IP Address","Lars","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In-utero (unborn)","Children and Adolescents (under 18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"Water-Neurodevelopment","In-utero (unborn), Children and Adolescents (under 18)"
"20",243,"Costas-Ferreira 2022","Toxic Effects of Glyphosate on the Nervous System: A Systematic Review","2023-08-21","IP Address","Hannah","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,NA,"Built Environment-Neurocognition, Built Environment-Neurodevelopment, Built Environment-Affect","General/non-specified"
"21",244,"Ferreira 2022","Experimental rodent models exposed to fine particulate matter (PM2.5) highlighting the injuries in the central nervous system: A systematic review","2023-08-21","IP Address","Hannah","Off","Off","On","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,"General doubts",NA,"Discussed acute neurotoxicity of P.M25 in rats as a model for humans. Only one section on cognitive and behavioral impairment, but many other sections on synaptic imbalance, altered protein formation, oxidative stress, neuron inflammation, and other physiological effects.","Water-Neurocognition, Built Environment-Neurocognition","General/non-specified"
"22",245,"Castagna 2022","Air pollution and neurodevelopmental skills in preschool- and school-aged children: A systematic review","2023-07-14","IP Address","Lars","Off","Off","On","Off","Off","Off","Off","On","Off","Off","Off","Off","On","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In-utero (unborn)","Children and Adolescents (under 18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"Water-Neurocognition, Built Environment-Neurocognition, Water-Neurodevelopment, Built Environment-Neurodevelopment","In-utero (unborn), Children and Adolescents (under 18)"
